"ID","GENDER","MARITALSTATUS","NUMCHILDREN","ESTINCOME","AGE","MONTHSASCUSTOMER","LOYALTYSCHEME","LASTBILLAMOUNT","AVGMONTHLYSPEND","TOTALSPEND","SUPPORTCALLSYEAR","COMPLAINTSYEAR","COMPLAINTSMONTH","CHURN"
"10000","F","Married","0","44551","72","67","N","217.9","218.56","14643.52","25","0","0","T"
"10001","M","Single","0","35270","76","64","Y","66.87","67.45","4316.8","11","0","0","T"
"10002","M","Single","0","56487","19","19","Y","106.61","106.9","2031.1000000000001","0","2","1","F"
"10004","F","Married","0","48956","64","4","N","150.5","150.5","602.0","12","0","0","T"
"10006","M","Single","1","28809","25","40","Y","64.7","64.95","2598.0","17","2","0","T"
"10009","M","Single","0","24404","30","38","Y","164.4","164.4","6247.2","20","2","1","T"
"10012","F","Married","1","17706","34","89","N","120.64","121.73","10833.970000000001","25","2","1","T"
"10013","M","Single","1","70105","39","32","Y","63.16","64.43","2061.76","53","0","0","T"
"10014","F","Married","0","48415","39","52","N","162.3","162.93","8472.36","0","2","1","F"
"10016","M","Single","1","278263","23","34","Y","107.23","107.55","3656.7","0","2","1","T"
"10017","F","Single","0","69928","30","19","N","43.52","45.49","864.3100000000001","3","2","1","F"
"10018","F","Single","0","78038","29","108","Y","83.5","84.24","9097.92","4","2","1","F"
"10021","F","Single","0","740813","43","26","Y","101.31","102.09","2654.34","3","6","3","F"
"10022","M","Single","0","60453","26","88","N","49.47","49.64","4368.32","11","0","0","T"
"10024","M","Single","0","50970","23","27","Y","104.57","104.57","2823.39","0","0","0","F"
"10029","F","Single","2","8996","23","50","N","49.89","50.3","2515.0","11","2","1","T"
"1003","M","Single","0","25015","19","24","Y","86.49","88.45","2122.8","0","2","0","F"
"10031","F","Married","1","51318","44","15","N","111.04","111.42","1671.3","0","0","0","F"
"10032","M","Single","1","13411","25","77","Y","86.52","87.48","6735.96","14","2","1","T"
"10033","F","Single","0","84945","20","1","Y","62.99","62.99","62.99","4","0","0","F"
"10036","F","Married","6","29261","50","72","N","86.8","87.49","6299.28","0","2","1","F"
"10037","M","Married","0","14173","51","48","N","124.05","124.05","5954.4","3","4","3","T"
"10039","F","Married","0","98196","41","65","N","112.89","113.85","7400.25","10","2","1","F"
"10042","M","Single","0","42160","27","90","Y","82.4","82.59","7433.1","4","2","1","F"
"10045","F","Single","1","69768","19","17","Y","67.21","67.41","1145.97","1","0","0","F"
"10046","M","Married","0","24800","42","113","N","119.39","119.87","13545.310000000001","9","1","0","F"
"10047","M","Single","0","42523","18","3","Y","88.18","97.28","291.84000000000003","0","0","0","F"
"10049","M","Married","0","59438","27","99","N","114.97","115.03","11387.97","1","2","1","F"
"10050","M","Single","1","51926","26","16","Y","81.34","85.22","1363.52","10","2","0","F"
"10053","M","Single","1","62033","30","68","Y","100.66","102.32","6957.759999999999","14","2","1","T"
"10055","M","Single","1","81172","20","30","Y","100.96","101.13","3033.8999999999996","0","3","2","T"
"10056","F","Single","1","38207","30","50","Y","82.89","83.7","4185.0","9","0","0","F"
"10057","F","Married","0","50480","28","68","N","147.34","148.65","10108.2","6","2","1","F"
"10059","F","Married","1","37928","33","64","N","86.74","86.74","5551.36","0","0","0","F"
"1006","F","Single","1","98251","20","31","Y","64.98","64.98","2014.38","1","0","0","T"
"10061","M","Single","2","45261","18","11","Y","86.99","89.48","984.2800000000001","1","2","1","F"
"10063","F","Married","0","22996","27","86","N","85.62","85.79","7377.9400000000005","8","4","2","T"
"10064","F","Single","1","38537","23","12","Y","63.57","64.13","769.56","1","0","0","F"
