ID,GENDER,MARITALSTATUS,NUMCHILDREN,ESTINCOME,CAROWNER,AGE,MONTHSASCUSTOMER,LOYALTYSCHEME,LASTBILLAMOUNT,AVGMONTHLYSPEND
10001,M,Single,0,35270,Y,76,64,Y,66.87,67.45
1003,M,Single,0,25015,Y,19,24,Y,86.49,88.45
10047,M,Single,0,42523,N,18,3,Y,88.18,97.28
10096,F,Single,2,823839,Y,24,67,Y,82.4,82.81
1018,M,Single,0,78995,N,30,26,Y,86.77,86.77
10192,F,Single,1,21791,Y,29,48,Y,106.76,107.65
10216,F,Single,0,35585,N,24,38,Y,81.91,82.02
10234,M,Married,4,72610,N,51,39,N,110.17,110.6
10265,F,Single,0,18385,N,27,106,Y,83.97,83.97
1029,M,Single,0,41046,N,19,17,Y,100.76,101.06
10301,F,Married,1,82275,Y,38,1,N,126.1,151.23
10349,M,Single,2,37633,N,20,16,Y,65.62,65.69
10430,M,Single,0,76873,Y,26,39,N,47.47,47.47
10436,F,Married,1,15452,N,42,56,N,176.28,176.44
10454,F,Married,0,23220,Y,40,47,N,86.38,87.42
10518,M,Single,1,70863,Y,29,22,Y,69.19,71.08
10535,F,Single,1,9570,Y,21,2,N,46.99,46.99
10588,M,Single,0,34586,Y,28,59,Y,87.89,88.64
10608,M,Married,1,76469,N,40,65,N,175.1,176.07
10629,F,Single,0,90152,Y,30,115,Y,82.03,82.36
1064,M,Single,1,50386,Y,28,101,N,46.87,47.82
10658,M,Single,0,56380,Y,28,58,Y,63.27,63.72
10663,F,Single,0,69055,Y,24,27,Y,106.78,107.09
10669,M,Single,0,21819,Y,19,2,Y,102.51,121.06
10690,M,Married,2,9297,Y,26,52,N,145.74,146.56
1070,M,Single,6,30864,Y,25,96,Y,103.5,103.88
10738,F,Married,0,10492,Y,54,32,N,143.77,145.51
10752,F,Single,0,7151,N,19,24,Y,101.91,102.13
10768,F,Single,0,3423,Y,25,15,N,93,93.31
10804,F,Single,1,36482,Y,30,52,N,44.76,44.76
10812,M,Single,1,26886,N,18,3,Y,68.88,84.89
1090,F,Married,2,87119,Y,44,92,N,128.56,129.05
10930,M,Married,0,98656,N,27,52,N,141.72,143.05
10949,F,Married,2,61839,Y,31,69,N,174.42,174.74
10965,M,Married,1,8037,Y,27,92,N,85.55,85.71
11001,F,Married,0,91820,Y,47,13,N,113.76,114.64
1102,F,Single,0,56126,Y,30,108,Y,61.23,61.23
11026,M,Married,1,85456,Y,37,83,N,144.62,144.62
11048,M,Single,1,440439,N,34,55,Y,64.19,65.25
11072,M,Single,2,12252,Y,28,15,Y,86.25,86.54
11144,M,Married,0,89897,Y,26,3,N,178.52,178.52
11187,F,Married,2,75600,Y,36,43,N,128.2,128.2
11200,M,Married,1,73545,Y,44,105,N,89.86,89.86
11227,F,Single,0,35271,Y,87,79,Y,85.61,85.94
11266,M,Single,0,48542,Y,19,9,Y,66.96,68.51
11267,F,Single,2,61238,N,29,30,N,44.17,44.17
11271,M,Single,0,28257,Y,23,51,Y,108.05,108.48
11284,F,Single,0,63346,Y,30,83,Y,103.02,104.07
1134,N,Married,0,4327,Y,49,116,N,86.04,86.38
1135,F,Single,1,18526,N,29,115,Y,66.61,67.11
11390,M,Single,2,3221,Y,18,5,N,45.47,45.47
11391,F,Married,0,72716,Y,29,24,N,173.81,174.18
11401,M,Married,0,56529,Y,37,36,N,120.39,121.87
11415,M,Single,1,72207,N,26,23,Y,67.14,67.14
11460,M,Single,0,31339,N,27,27,N,44.72,45.2
11464,F,Single,1,20439,Y,20,25,Y,107.42,107.42
1150,M,Single,0,147052,Y,21,13,N,45.52,48.21
11512,M,Single,0,98998,Y,20,19,Y,89.53,89.77
11521,M,Married,2,23566,Y,25,2,N,148.8,148.8
11571,F,Married,1,91020,Y,28,112,N,173.53,173.53
11595,M,Single,0,46097,Y,25,64,N,48.16,48.16
11632,F,Single,0,85001,Y,29,37,N,123.6,124.32
1170,F,Single,0,47155,Y,36,81,Y,159.9,160.5
11722,F,Married,1,24780,Y,28,101,N,123.93,124.43
11760,M,Single,0,136148,Y,28,112,Y,105.01,105.01
11811,M,Single,1,638790,Y,30,15,Y,104.26,105.72
11888,F,Married,0,48073,Y,38,119,N,125.31,125.31
11973,F,Single,1,30197,N,26,54,Y,89.19,89.61
1207,F,Single,1,10341,Y,24,39,N,42.82,42.82
1233,M,Married,1,26673,Y,25,16,N,81.01,82.88
1269,F,Married,1,845618,Y,38,7,N,141.55,144.12
1334,M,Married,0,32635,Y,26,62,N,170.33,171.05
1404,M,Single,0,55907,Y,29,33,N,40.06,41.8
1458,M,Single,0,23386,Y,24,26,Y,64.62,64.75
1491,F,Single,1,876115,Y,22,32,Y,100.06,101.26
1496,F,Married,1,87088,Y,48,48,N,80.33,80.59
1509,M,Single,0,291963,Y,30,93,Y,85.66,85.66
1510,F,Single,0,7394,Y,29,35,Y,66.9,68.19
1530,F,Married,0,14760,N,34,57,N,123.69,123.91
1561,F,Single,0,50305,N,28,6,N,43.56,43.56
1879,F,Single,0,11527,Y,19,5,Y,61.48,61.48
1898,F,Married,0,24253,N,85,109,N,115.48,115.98
1915,M,Married,1,96532,Y,28,82,N,127.47,129.14
1926,M,Single,2,33110,Y,30,70,N,48.92,49.13
1955,M,Single,1,45255,N,23,5,N,45.93,45.93
1988,F,Single,0,8586,Y,24,80,Y,105.29,105.36
2002,M,Married,0,28566,Y,62,45,N,144.5,145.05
2027,F,Single,0,95383,N,24,45,N,42.4,43.5
2126,M,Married,0,79177,N,46,14,N,172.28,172.28
2222,F,Married,1,65129,Y,41,103,N,142.6,143.16
2231,M,Single,0,2723,Y,30,33,Y,88.55,88.55
2232,M,Single,0,172244,N,23,53,Y,64.6,64.6
2240,F,Married,1,15444,N,40,119,N,149.87,151.2
2250,F,Married,5,71023,Y,51,118,N,174.61,175.5
2330,M,Married,1,77322,Y,31,49,N,123.71,123.71
2340,M,Married,2,52436,N,41,29,N,113.18,114.16
2365,F,Single,1,27244,N,29,1,Y,69.13,118.31
2370,M,Married,5,45349,N,49,2,N,177.21,196.47
2371,M,Single,0,630053,Y,25,16,Y,82.09,84.81
2382,N,Married,0,77835,Y,49,69,N,178.8,179.31
2439,F,Single,1,29923,N,21,44,Y,103.37,103.91
2486,F,Married,2,241183,Y,42,14,N,171.82,172.72
2517,M,Married,1,12140,N,28,61,N,80.94,80.94
2654,M,Married,1,42836,Y,41,58,N,114.35,114.35
2672,F,Single,0,4083,Y,30,69,Y,83.59,83.9
2697,M,Single,0,625248,Y,28,28,N,43.5,43.5
2741,M,Married,2,44361,Y,27,66,N,148.77,149.34
2764,F,Single,1,51868,Y,29,1,Y,106.07,106.07
2773,M,Single,0,2651,Y,21,6,Y,80.35,87.86
2780,F,Married,0,54848,N,36,6,N,148.77,148.77
2812,F,Married,0,98863,Y,52,39,N,120.36,120.36
2814,M,Married,1,35700,Y,43,44,N,127.54,128.56
2835,M,Single,0,90010,Y,25,21,Y,84.93,85.54
2875,F,Married,0,64296,N,33,9,N,111.02,111.02
2889,M,Married,1,55559,Y,25,53,N,175.01,175.01
2901,F,Married,1,45771,Y,46,63,N,173.33,175.39
2906,M,Single,1,81277,Y,22,20,Y,112.2,114.83
2945,F,Single,1,30021,Y,29,38,Y,67.59,67.59
2996,F,Single,0,1180,Y,23,71,Y,84.53,84.83
3003,M,Married,1,88902,Y,50,22,N,127.23,129.64
3005,F,Single,0,89238,Y,29,96,Y,81.45,81.45
3070,M,Married,2,53486,N,48,71,N,170.87,170.87
3109,M,Single,1,73248,Y,25,32,Y,101.49,103.1
3129,M,Single,0,60942,Y,26,80,Y,62.51,63.06
3145,F,Married,8,5785,Y,52,87,N,214.2,214.2
3148,F,Married,1,69162,Y,28,39,N,176.79,177.02
3153,F,Married,0,41899,Y,70,60,N,105.2,105.56
3188,F,Single,1,114704,Y,28,24,Y,82.46,83.51
3253,M,Single,0,41852,Y,18,11,Y,68.37,72.82
3297,M,Married,2,15325,Y,40,114,N,115.21,115.36
3322,F,Married,1,5827,Y,50,120,N,179.34,179.34
3372,M,Single,0,890780,Y,21,4,Y,62.12,62.12
3395,M,Single,2,19386,Y,22,46,Y,80.34,80.61
3401,M,Single,0,35614,Y,27,25,Y,103.33,103.65
3409,F,Single,0,18686,Y,18,6,Y,129.6,137.65
3418,M,Married,0,83620,Y,42,24,N,88.24,88.24
3515,F,Married,2,79344,Y,40,46,N,143.1,143.1
3544,F,Married,0,84505,Y,39,93,N,122.7,122.93
3625,F,Single,0,80152,N,23,43,Y,86.72,86.73
3633,M,Married,2,75521,Y,48,88,N,134.7,135.74
3655,M,Single,1,74481,Y,20,13,N,43.3,47.24
3684,M,Single,2,82333,N,23,69,N,45.34,45.34
3686,F,Single,0,608355,N,30,5,Y,108.9,111.08
3727,M,Single,0,461,Y,27,77,Y,96.6,96.98
3751,M,Single,0,69039,Y,19,19,Y,109.16,111.53
3816,M,Married,2,210813,Y,29,81,N,140.93,141.62
3864,F,Married,0,49988,Y,34,64,N,112.39,113.62
3918,F,Single,1,840991,Y,20,7,Y,104.99,106.61
4012,M,Married,2,19321,Y,25,75,N,173.64,174.26
4025,F,Married,1,31363,Y,33,30,N,145.46,145.95
4032,F,Single,1,158579,Y,29,116,Y,109.11,109.64
4074,M,Married,5,52826,Y,45,69,N,111.14,112.12
4090,M,Married,0,31797,N,72,119,N,82.73,82.86
4100,M,Married,2,48567,N,40,84,N,178.5,180.1
4121,M,Married,0,16886,Y,58,86,N,147.29,147.29
4191,F,Single,2,33844,N,20,24,Y,68.87,71.51
4205,M,Married,0,156748,N,29,23,N,116.44,116.7
4230,M,Married,1,6267,N,34,58,N,110.5,110.5
4238,F,Single,0,23191,Y,24,25,N,41.58,43.2
4252,M,Single,0,4114,Y,27,99,N,40.86,40.86
4259,F,Single,0,752673,Y,28,71,Y,66.93,67.69
4290,M,Married,0,67295,N,28,20,N,170.52,170.52
4332,M,Married,0,817238,Y,27,57,N,119.29,120.34
4405,M,Married,0,61468,N,83,103,N,129.36,129.36
4456,M,Married,1,5134,Y,23,71,N,112.73,113.13
4469,M,Married,1,611235,Y,54,67,N,113,114.02
4476,M,Single,0,13314,N,27,38,Y,87.69,88.04
